5,9/21/2019 17:31,Haverford 5,1.59,251,0:47:30,101,128,36
2,9/21/2019 9:51,Union 2,3.56,730,1:11:53,138,178,495
1,9/19/2019 6:17,Rock,0,375,1:15:53,103,128,
5,9/17/2019 18:08,Haverford 5,0.95,152,0:25:50,110,137,36
1,9/17/2019 6:21,Rock,0,164,0:34:06,97,132,
5,9/14/2019 20:30,Haverford 5,1.35,155,0:24:34,104,122,30
1,9/14/2019 16:27,Rock,0,433,1:27:27,103,139,
3,9/13/2019 7:15,Collegeville 3,3.21,454,0:33:53,167,184,43
1,9/12/2019 6:12,Rock,0,275,0:56:28,98,125,
6,9/11/2019 6:37,Towamencin Golf,7.03,600,2:45:50,115,165,351
3,9/10/2019 20:25,Haverford 3,4.31,686,0:48:04,175,189,266
5,9/10/2019 18:50,Haverford 5,1.61,191,0:31:31,110,130,49
1,9/10/2019 6:27,Rock,0,228,0:40:08,102,141,
5,9/9/2019 17:05,Haverford 5,2.8,366,0:59:14,116,147,102
5,9/8/2019 18:22,Haverford 5,0.29,34,06:53.5,110,119,3
1,9/8/2019 14:05,Rock,0,322,0:46:32,115,152,
5,9/7/2019 19:52,Haverford 5,1.18,137,0:23:35,111,125,
5,9/7/2019 16:19,Haverford 5,1.19,191,0:31:40,110,143,92
5,9/5/2019 17:08,Haverford 5,2.47,296,0:42:07,109,144,115
5,9/5/2019 7:10,Haverford 5,2.49,319,0:38:58,114,149,115
5,9/3/2019 18:11,Haverford 5,1.42,220,0:35:01,114,156,59
5,8/31/2019 19:15,College 5,0.98,133,0:22:57,110,138,112
5,8/31/2019 17:44,College 5,1.26,146,0:26:34,101,115,20
2,8/31/2019 10:53,Barree 2,1.91,401,1:09:51,106,157,282
5,8/27/2019 18:53,Haverford 5,0.76,99,0:19:20,96,127,39
3,8/26/2019 21:12,Haverford 3,2.24,319,0:22:24,166,190,102
5,8/24/2019 18:57,Haverford 5,0.36,64,0:12:19,94,140,46
3,8/23/2019 22:09,Haverford 3,2.02,304,0:21:02,169,180,75
5,8/21/2019 17:08,Haverford 5,2.36,289,0:40:29,123,143,85
3,8/18/2019 20:39,Haverford 3,1.83,290,0:21:15,163,186,69
3,8/15/2019 20:24,Haverford 3,1.86,306,0:18:38,173,193,82
3,8/14/2019 20:05,3,1.96,297,0:19:52,,,
